iter	Passed	Remaining
398	8195	12344
399	8211	12317
400	8229	12292
401	8245	12265
402	8260	12237
403	8276	12209
404	8290	12179
405	8306	12152
406	8324	12128
407	8342	12104
408	8359	12079
409	8380	12059
410	8403	12042
411	8431	12033
412	8450	12011
413	8469	11987
414	8485	11961
415	8500	11934
416	8513	11902
417	8525	11870
418	8539	11841
419	8552	11811
420	8565	11779
421	8579	11751
422	8590	11718
423	8602	11686
424	8617	11658
425	8632	11631
426	8648	11605
427	8663	11577
428	8683	11557
429	8699	11532
430	8720	11512
431	8737	11488
432	8754	11463
433	8773	11442
434	8786	11412
435	8802	11386
436	8815	11357
437	8829	11328
438	8846	11304
439	8864	11281
440	8879	11255
441	8894	11228
442	8911	11205
443	8929	11181
444	8945	11156
445	8961	11131
446	8976	11104
447	8996	11084
448	9013	11060
449	9029	11035
450	9046	11012
451	9062	10986
452	9078	10962
453	9094	10936
454	9109	10911
455	9126	10887
456	9143	10863
457	9158	10838
458	9171	10810
459	9184	10781
460	9196	10752
461	9209	10724
462	9222	10695
463	9234	10667
464	9245	10637
465	9259	10610
466	9271	10581
467	9282	10551
468	9293	10522
469	9307	10495
470	9319	10467
471	9331	10438
472	9343	10409
473	9355	10382
474	9368	10354
475	9379	10325
476	9391	10297
477	9403	10269
478	9472	10303
479	9519	10312
480	9538	10291
481	9554	10268
482	9571	10245
483	9587	10221
484	9603	10197
485	9620	10174
486	9638	10153
487	9661	10136
488	9680	10116
489	9701	10097
490	9720	10076
491	9742	10059
492	9761	10039
493	9778	10015
494	9794	9991
495	9813	9971
496	9826	9944
497	9838	9917
498	9851	9891
499	9865	9865
500	9877	9837
501	9889	9810
502	9901	9783
503	9913	9755
504	9925	9728
505	9937	9701
506	9949	9674
507	9962	9648
508	9974	9622
509	9988	9596
510	10000	9569
511	10013	9544
512	10026	9518
513	10038	9491
514	10049	9463
515	10061	9437
516	10075	9412
517	10088	9387
518	10104	9364
519	10122	9343
520	10136	9319
521	10147	9292
522	10158	9264
523	10170	9238
524	10182	9212
525	10194	9186
526	10207	9161
527	10219	9135
528	10230	9109
529	10242	9082
